"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\MoviePage.jsx", "JavaScript", 0, 236, 0, 0, 0, 0, 21, 33, 290
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\MoviePagePoster.jsx\MoviePagePoster.jsx", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Providers\Providers.jsx", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 8, 57
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Providers\justwatch.svg", "XML", 0, 0, 0, 0, 0, 49, 1, 2, 52
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\RatingAndInteractions\RatingAndInteractions.jsx", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\RatingAndInteractions\TMDBLogo.jsx", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\RatingAndInteractions\tmdb-short-logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Reccomendations\Recommendations.jsx", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Reviews\AllReviews\AllReviews.jsx", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 9, 83
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Reviews\Review\Review.jsx", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 5, 63
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Reviews\Reviews.jsx", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 4, 52
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Score\Score.jsx", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MovieShowcase\MovieShowcase.jsx", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 4, 87
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PersonPage\PersonCredits\PersonCredits.jsx", "JavaScript", 0, 145, 0, 0, 0, 0, 2, 17, 164
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PersonPage\PersonOverview\PersonOverview.jsx", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 1, 34
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PersonPage\PersonPage.jsx", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 12, 124
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PersonPage\PersonProductionInfo\PersonProductionInfo.jsx", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PopularMoviesList\MoviePoster\MoviePoster.jsx", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PopularMoviesList\PopularMoviesList.jsx", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 5, 80
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PopularTVShows\PopularTVShows.jsx", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 6, 80
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\Rankings\Rankings.jsx", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 15, 167
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\Rankings\RankingsInterface\RankingsInterface.jsx", "JavaScript", 0, 224, 0, 0, 0, 0, 0, 10, 234
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\Rankings\RankingsProduction\RankingsProduction.jsx", "JavaScript", 0, 124, 0, 0, 0, 0, 1, 15, 140
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SearchResults\SearchResults.jsx", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SearchingResults\SearchingResults.jsx", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SiteOverview\BigSearchBar\BigSearchBar.jsx", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SiteOverview\CommunityOverview\CommunityOverview.jsx", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SiteOverview\DataOverview\DataOverview.jsx", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SiteOverview\SiteOverview.jsx", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\SiteOverview\tmdb.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\constants.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\index.css", "CSS", 0, 0, 0, 45, 0, 0, 37, 12, 94
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\index.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 2, 35
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\tailwind.config.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 2, 44
"Total", "-", 27680, 2536, 38, 45, 29, 53, 64, 316, 30761
